;Well;Fluor;Target;Content;Sample;Cq;SQ
;H23;SYBR;;Unkn;;NaN;NaN
;H24;SYBR;;Unkn;;NaN;NaN
;I01;SYBR;RPS49;Unkn;;20,7458150724273;NaN
;I02;SYBR;RPS49;Unkn;;21,1829859167156;NaN
;I03;SYBR;Vg;Unkn;;34,0253606424977;NaN
;I04;SYBR;Vg;Unkn;;38,3709083899005;NaN
;I05;SYBR;A1;Unkn;;35,0103769818902;NaN
;I06;SYBR;A1;Unkn;;35,8543927945978;NaN
;I07;SYBR;;Unkn;;NaN;NaN
;I08;SYBR;;Unkn;;NaN;NaN
;I09;SYBR;;Unkn;;NaN;NaN
;I10;SYBR;;Unkn;;NaN;NaN
;I11;SYBR;;Unkn;;NaN;NaN
;I12;SYBR;;Unkn;;NaN;NaN
;I13;SYBR;;Unkn;;NaN;NaN
;I14;SYBR;;Unkn;;NaN;NaN
;I15;SYBR;;Unkn;;NaN;NaN
;I16;SYBR;;Unkn;;NaN;NaN
;I17;SYBR;;Unkn;;NaN;NaN
;I18;SYBR;;Unkn;;NaN;NaN
;I19;SYBR;;Unkn;;NaN;NaN
;I20;SYBR;;Unkn;;NaN;NaN
;I21;SYBR;;Unkn;;NaN;NaN
;I22;SYBR;;Unkn;;NaN;NaN
;I23;SYBR;;Unkn;;NaN;NaN
;I24;SYBR;;Unkn;;NaN;NaN
;J01;SYBR;RPS49;Unkn;;10,1421049772282;NaN
;J02;SYBR;RPS49;Unkn;;16,1282219016253;NaN
;J03;SYBR;Vg;Unkn;;26,9063509669223;NaN
;J04;SYBR;Vg;Unkn;;27,1109771866619;NaN
;J05;SYBR;A1;Unkn;;NaN;NaN
;J06;SYBR;A1;Unkn;;NaN;NaN
;J07;SYBR;;Unkn;;NaN;NaN
;J08;SYBR;;Unkn;;NaN;NaN
;J09;SYBR;;Unkn;;NaN;NaN
;J10;SYBR;;Unkn;;NaN;NaN
;J11;SYBR;;Unkn;;NaN;NaN
;J12;SYBR;;Unkn;;NaN;NaN
;J13;SYBR;;Unkn;;NaN;NaN
;J14;SYBR;;Unkn;;NaN;NaN
;J15;SYBR;;Unkn;;NaN;NaN
;J16;SYBR;;Unkn;;NaN;NaN
;J17;SYBR;;Unkn;;NaN;NaN
;J18;SYBR;;Unkn;;NaN;NaN
;J19;SYBR;;Unkn;;NaN;NaN
;J20;SYBR;;Unkn;;NaN;NaN
;J21;SYBR;;Unkn;;NaN;NaN
;J22;SYBR;;Unkn;;NaN;NaN
;J23;SYBR;;Unkn;;NaN;NaN
;J24;SYBR;;Unkn;;NaN;NaN
;K01;SYBR;RPS49;Unkn;;18,3794709664634;NaN
